entry	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (molecular function)
sce:YDR441C	1	3	3
sce:YOR251C	2	2	1
sce:YBR029C	3	3	1
sce:YBR133C	7	9	4
sce:YNL169C	4	6	1
sce:YFL033C	2	8	4
sce:YDL141W	2	1	6
sce:YKR058W	1	1	4
sce:YPR118W	2	2	1
sce:YGL047W	6	1	2
sce:YBR026C	2	3	3
sce:YCL061C	5	13	1
sce:YDR173C	3	8	11
sce:YNR050C	2	1	2
sce:YOL123W	4	4	2
sce:YLR245C	3	4	4
sce:YPL280W	3	4	2
sce:YGL179C	1	3	4
sce:YGR194C	2	4	2
sce:YJL183W	3	3	1
sce:YBR001C	2	1	2
sce:YFR036W	3	8	0
sce:YJL052W	5	2	4
sce:YDR331W	3	3	1
sce:YGL003C	3	13	3
sce:YOR014W	7	10	2
sce:YNR041C	4	2	3
sce:YFR055W	0	4	3
sce:YDR226W	4	6	2
sce:YER179W	2	9	7
sce:YBR200W	10	5	3
sce:YGR108W	4	8	1
sce:YKL161C	3	6	4
sce:YNL009W	3	5	3
sce:YGL062W	2	2	3
sce:YDR256C	5	3	3
sce:YOR125C	3	1	4
sce:YNR006W	5	11	5
sce:YGR254W	6	2	3
sce:YML081C-A	4	3	1
sce:YER155C	8	5	3
sce:YOR085W	3	5	2
sce:YMR217W	1	2	3
sce:YEL069C	2	4	4
sce:YBR127C	7	9	2
sce:YBR143C	4	3	3
sce:YNL317W	2	3	0
sce:YOR089C	9	8	2
sce:YFR030W	3	3	4
sce:YLR182W	4	6	2
sce:YOR143C	1	2	4
sce:YPL203W	5	6	5
sce:YDR236C	4	4	3
sce:YIL124W	5	2	3
sce:YKL060C	3	2	3
sce:YJR139C	2	5	3
sce:YGR012W	3	1	1
sce:YDR196C	6	2	2
sce:YPR181C	5	8	2
sce:YJL157C	5	7	2
sce:YML115C	2	4	1
sce:YGR204W	3	6	4
sce:YCL008C	5	9	1
sce:YNL271C	9	12	4
sce:YDR507C	4	8	4
sce:YHL032C	2	5	2
sce:YCR084C	2	7	5
sce:YML124C	8	7	4
sce:YMR202W	2	1	1
sce:YGR070W	1	2	1
sce:YDL194W	3	6	2
sce:YMR083W	3	2	2
sce:YDR377W	4	2	0
sce:YEL021W	1	3	1
sce:YPL028W	4	2	2
sce:YER141W	2	1	1
sce:YNL049C	4	2	3
sce:YDL066W	2	5	3
sce:YHR072W	2	2	1
sce:YDR530C	2	2	4
sce:YNL071W	2	1	1
sce:YML100W	2	2	2
sce:YGL234W	2	4	4
sce:YPR074C	2	1	2
sce:YNL289W	5	8	2
sce:YLR342W	8	6	1
sce:YDR347W	3	1	3
sce:YBR183W	3	2	2
sce:YDR428C	0	4	1
sce:YDR144C	4	3	1
sce:YBR273C	2	3	0
sce:YJL121C	1	3	2
sce:YKR084C	3	7	3
sce:YMR267W	1	2	2
sce:YDR260C	2	8	0
sce:YBR299W	1	3	4
sce:YDL232W	3	1	1
sce:YJR024C	2	2	2
sce:YJL137C	1	1	4
sce:YMR009W	2	2	4
sce:YOL068C	3	11	5
sce:YHR186C	6	9	2
sce:YDL055C	1	4	2
sce:YDR207C	4	10	5
sce:YAL044C	3	4	0
sce:YOR270C	4	6	3
sce:YLR070C	0	4	3
sce:YGL248W	0	2	2
sce:YER091C	2	2	2
sce:YAL012W	2	4	5
sce:YJL030W	5	6	1
sce:YNL267W	4	7	2
sce:YOR075W	5	4	1
sce:YKR067W	4	3	3
sce:YDL052C	3	3	3
sce:YML059C	3	2	2
sce:YKR097W	1	1	2
sce:YIL146C	4	2	0
sce:YML065W	5	5	6
sce:YOL059W	4	4	3
sce:YOR168W	2	1	3
sce:YMR036C	2	6	1
sce:YNL223W	5	10	1
sce:YEL038W	2	2	4
sce:YBR083W	3	9	5
sce:YDR285W	4	6	1
sce:YFL053W	1	5	3
sce:YCR005C	4	3	2
sce:YLR300W	4	3	1
sce:YNL145W	3	1	1
sce:YOR368W	2	4	3
sce:YNL280C	2	1	2
sce:YKL008C	4	1	1
sce:YDR454C	3	3	2
sce:YOR073W	5	12	0
sce:YKR009C	1	1	5
sce:YLR359W	1	3	2
sce:YGL202W	1	6	4
sce:YBR115C	1	1	2
sce:YER090W	2	2	2
sce:YDR300C	2	4	3
sce:YML086C	2	2	2
sce:YER165W	7	4	7
sce:YOR095C	3	4	1
sce:YMR139W	1	3	5
sce:YKR089C	1	5	4
sce:YGR110W	2	4	2
sce:YHR019C	2	1	3
sce:YFR028C	8	13	4
sce:YMR306W	4	3	1
sce:YOR111W	1	1	3
